Date,Currency_Code,Impact,Actual,Previous
2018-01-31T22:30:00.000Z,AUD,low,0,0
2018-02-01,USD,med,-1,0
2018-02-01T00:30:00.000Z,AUD,high,-1,1
2018-02-01T01:45:00.000Z,CNY,low,0,0
2018-02-01T05:00:00.000Z,JPY,low,0,0
2018-02-01T06:45:00.000Z,CHF,med,1,0
2018-02-01T07:00:00.000Z,GBP,low,1,0
2018-02-01T07:00:00.000Z,GBP,low,1,0
2018-02-01T08:15:00.000Z,CHF,med,0,0
2018-02-01T08:30:00.000Z,CHF,low,1,1
2018-02-01T08:50:00.000Z,EUR,low,1,0
2018-02-01T08:55:00.000Z,EUR,med,-1,0
2018-02-01T09:00:00.000Z,EUR,med,0,0
2018-02-01T09:30:00.000Z,GBP,med,-1,-1
2018-02-01T11:15:00.000Z,EUR,,0,0
2018-02-01T13:30:00.000Z,USD,med,1,1
2018-02-01T13:30:00.000Z,USD,low,-1,-1
2018-02-01T13:30:00.000Z,USD,med,1,1
2018-02-01T14:45:00.000Z,USD,low,0,0
2018-02-01T15:00:00.000Z,USD,med,1,-1
2018-02-01T15:00:00.000Z,USD,high,1,-1
2018-02-01T17:30:00.000Z,GBP,,0,0
2018-02-01T21:45:00.000Z,NZD,low,0,1
2018-02-01T21:45:00.000Z,NZD,med,0,0
2018-02-02T09:30:00.000Z,GBP,,-1,0
2018-02-02T10:00:00.000Z,EUR,low,0,0
2018-02-02T10:00:00.000Z,EUR,low,-1,0
2018-02-02T10:00:00.000Z,EUR,,0,0
2018-02-02T13:30:00.000Z,USD,high,1,1
2018-02-02T13:30:00.000Z,USD,high,0,0
2018-02-02T13:30:00.000Z,USD,high,1,1
2018-02-02T13:30:00.000Z,USD,high,1,1
2018-02-02T14:00:00.000Z,EUR,,0,0
2018-02-02T15:00:00.000Z,USD,high,1,0
2018-02-02T15:00:00.000Z,USD,low,1,-1
2018-02-02T18:30:00.000Z,USD,,0,0
2018-02-02T20:30:00.000Z,USD,,0,0
2018-02-04T22:30:00.000Z,AUD,med,0,0
2018-02-05T00:00:00.000Z,NZD,med,0,1
2018-02-05T00:30:00.000Z,JPY,med,0,0
2018-02-05T00:30:00.000Z,AUD,med,0,-1
2018-02-05T08:50:00.000Z,EUR,low,0,0
2018-02-05T08:50:00.000Z,EUR,,0,0
2018-02-05T08:55:00.000Z,EUR,med,1,0
2018-02-05T09:00:00.000Z,EUR,med,1,0
2018-02-05T09:00:00.000Z,EUR,low,1,0
2018-02-05T09:30:00.000Z,GBP,med,-1,0
2018-02-05T09:30:00.000Z,EUR,med,-1,0
2018-02-05T10:00:00.000Z,EUR,,-1,1
2018-02-05T10:00:00.000Z,EUR,,0,1
2018-02-05T15:00:00.000Z,USD,high,1,1
2018-02-05T16:00:00.000Z,EUR,,0,0
2018-02-06,NZD,,0,0
2018-02-06,EUR,,0,0
2018-02-06T00:30:00.000Z,AUD,high,-1,0
2018-02-06T00:30:00.000Z,AUD,med,-1,0
2018-02-06T03:30:00.000Z,AUD,high,0,0
2018-02-06T07:00:00.000Z,EUR,med,1,1
2018-02-06T07:00:00.000Z,EUR,med,1,1
2018-02-06T09:00:00.000Z,EUR,,0,0
2018-02-06T13:30:00.000Z,CAD,med,-1,1
2018-02-06T13:30:00.000Z,USD,med,-1,1
